Gene_Symbol,U_statistic,P_value,FDR
GABRA3,99841.0,0.5545373847059725,
BRCA1,106368.5,0.39800412469285584,
ERCC1,117789.0,0.0008357704417212328,
CD22,115330.0,0.00505738614294001,
SEMA3B,122198.5,1.676040724182603e-05,
MBTPS2,94164.5,0.06856599475788945,
PRICKLE3,108044.5,0.22573773071100756,
LTF,97337.0,0.2592986146619729,
EXTL3,96466.0,0.18737933706281706,
NR1H4,97202.5,0.1340627797949477,
ELOVL5,101236.0,0.7824823458115033,
ALOX5,108926.0,0.1603108776701696,
KDM5D,107571.0,0.17903052778187623,
CALCOCO1,93223.5,0.04267413019259617,
UBR7,111258.0,0.0556727260568061,
MAP4K5,93328.0,0.045064565908353844,
EHD3,95442.0,0.12304341869130857,
PSMC4,123360.0,5.164811826726951e-06,
MAN2B2,112593.0,0.027433213601847313,
SLC7A14,90404.5,0.0075533459416143684,
CLDN11,91233.0,0.013823140292360005,
SLC25A39,114050.0,0.011613866558651029,
MVP,122012.0,2.0131275998710205e-05,
NUB1,104802.0,0.6150363668801917,
PGM3,98106.0,0.33704646894767454,
RWDD2A,100919.0,0.7298291588426505,
CLK1,92176.0,0.024084842376982545,
POLR3B,102476.0,0.9959029195774334,
ANGEL1,99536.0,0.5172759587747771,
RNF14,97251.0,0.2514468483331658,
DNASE1L1,106538.0,0.3776533266388994,
DDX11,113245.0,0.018886418282125002,
HEBP1,105378.0,0.5295072476316001,
GPRC5A,110354.0,0.08615161250379566,
MAMLD1,94541.5,0.08205390022420689,
CD6,121859.5,2.3357976403574807e-05,
TACC3,117822.0,0.0008143257236937905,
UFL1,95573.5,0.13018054746211846,
POLA2,117939.0,0.0007423394023228794,
ZC3H3,112244.0,0.03325110111965417,
CAPN1,113124.0,0.020269272192849564,
ACP3,102563.5,0.9890166348766437,
MDH1,90422.5,0.008316866434732045,
SLC30A9,98044.5,0.33032688908101904,
MTMR11,99791.5,0.5540372983905186,
COX15,103213.0,0.876279467517094,
CCDC88C,119146.0,0.0002756347033854587,
YAF2,98971.5,0.4407672322575047,
ZMYND11,88387.0,0.0020444221824063376,
WAS,116411.5,0.002368354020814619,
DPEP1,121019.5,5.197566197712184e-05,
BID,102381.5,0.9794296151999223,
MATR3,101647.0,0.8522262964819677,
NPC1L1,93816.0,0.05777255152716452,
XYLT2,119047.0,0.00029970836899877314,
RGPD5,110855.0,0.06327015659767503,
STMN4,99434.5,0.5022058041486119,
NUDCD3,101277.5,0.7894557141351589,
ISL1,103678.0,0.7951750294192581,
CHDH,101597.5,0.8437534117197467,
IL20RA,96116.5,0.1630942070156628,
CLCA1,100658.5,0.554870151451466,
CLCA4,94381.0,0.07499345961913917,
GLT8D1,105793.0,0.47187020258085355,
ATP2C1,99013.0,0.4461614116702496,
IGF1,89778.0,0.005439955591032914,
SLC38A5,113323.0,0.018039372422912734,
RALBP1,101202.0,0.7767821935369187,
RUFY3,90544.0,0.008991447267102874,
CNTN1,91633.0,0.01757638490964794,
SLC11A1,118350.0,0.0005336888727068977,
WWTR1,92319.0,0.026113046595880488,
AGPS,98433.5,0.3742956113797328,
ZNF285CP,90883.0,0.009523774060419885,
STEEP1,87927.0,0.0014514663792353274,
ATP1A2,95648.5,0.13439227576474355,
TTC27,99634.5,0.5312972055291283,
ZNF582,102487.5,0.9979078669481093,
VSIG2,98521.0,0.38466317973542674,
PHLDB1,97667.5,0.2910443434967418,
MARCO,97605.5,0.28489785940090695,
CYP24A1,107851.0,0.24221089825996722,
PRDM11,93929.0,0.06110598607500525,
SYT13,109759.5,0.11270365752972906,
SNAI2,98570.5,0.3906053113592952,
CD74,116605.0,0.0020564661282931945,
HGF,88996.0,0.003171260047489077,
ZRANB1,90103.0,0.0067538940962871925,
NCDN,117064.0,0.0014613590129170895,
ADGRA2,93776.5,0.05664369316607353,
CCT8L1P,105424.0,0.4837006408829564,
ZFP64,113857.5,0.01307933405730404,
MNAT1,113174.5,0.019681736630937433,
SAMD4A,90128.5,0.006868170273923906,
RUNX3,102632.0,0.9770768379349797,
MRE11,81261.0,3.470727328862446e-06,
PLEKHB1,99125.0,0.4609051873906411,
SERPINB1,104921.0,0.5968748405106561,
CYP3A43,101675.0,0.8563609257986862,
SLC7A9,108603.0,0.18238444437850043,
SPAST,97888.5,0.3136739021705216,
NRXN3,101674.0,0.8568551364733843,
OSBPL5,108743.0,0.17255506488342165,
AQR,96908.0,0.22178680905253934,
CPS1,91069.5,0.012505369466665923,
